player_id,game_id,team,position,offense_snaps,defense_snaps,st_snaps,offense_pct,defense_pct,st_pct
,2025_01_CAR_JAX,CAR,QB,64.0,0.0,0.0,1.0,0.0,0.0
,2025_01_CAR_JAX,CAR,C,64.0,0.0,0.0,1.0,0.0,0.0
,2025_01_CAR_JAX,CAR,WR,53.0,0.0,0.0,0.83,0.0,0.0
,2025_01_CAR_JAX,CAR,WR,50.0,0.0,0.0,0.78,0.0,0.0
,2025_01_CAR_JAX,CAR,RB,43.0,0.0,0.0,0.67,0.0,0.0
,2025_01_CAR_JAX,CAR,WR,42.0,0.0,0.0,0.66,0.0,0.0
,2025_01_CAR_JAX,CAR,TE,39.0,0.0,2.0,0.61,0.0,0.09
,2025_01_CAR_JAX,CAR,TE,29.0,0.0,2.0,0.45,0.0,0.09
,2025_01_CAR_JAX,CAR,RB,22.0,0.0,7.0,0.34,0.0,0.32
,2025_01_CAR_JAX,CAR,WR,19.0,0.0,14.0,0.3,0.0,0.64
,2025_01_CAR_JAX,CAR,WR,12.0,0.0,1.0,0.19,0.0,0.05
,2025_01_CAR_JAX,CAR,TE,9.0,0.0,7.0,0.14,0.0,0.32
,2025_01_CAR_JAX,CAR,RB,2.0,0.0,8.0,0.03,0.0,0.36
,2025_01_CAR_JAX,CAR,S,0.0,66.0,6.0,0.0,1.0,0.27
,2025_01_CAR_JAX,CAR,CB,0.0,66.0,6.0,0.0,1.0,0.27
,2025_01_CAR_JAX,CAR,CB,0.0,66.0,0.0,0.0,1.0,0.0
,2025_01_CAR_JAX,CAR,LB,0.0,66.0,0.0,0.0,1.0,0.0
,2025_01_CAR_JAX,CAR,S,0.0,66.0,0.0,0.0,1.0,0.0
,2025_01_CAR_JAX,CAR,LB,0.0,57.0,0.0,0.0,0.86,0.0
,2025_01_CAR_JAX,CAR,LB,0.0,48.0,6.0,0.0,0.73,0.27
,2025_01_CAR_JAX,CAR,DE,0.0,48.0,5.0,0.0,0.73,0.23
,2025_01_CAR_JAX,CAR,CB,0.0,47.0,6.0,0.0,0.71,0.27
,2025_01_CAR_JAX,CAR,DE,0.0,41.0,6.0,0.0,0.62,0.27
,2025_01_CAR_JAX,CAR,LB,0.0,41.0,0.0,0.0,0.62,0.0
,2025_01_CAR_JAX,CAR,DT,0.0,33.0,5.0,0.0,0.5,0.23
,2025_01_CAR_JAX,CAR,DT,0.0,20.0,0.0,0.0,0.3,0.0
,2025_01_CAR_JAX,CAR,LB,0.0,18.0,5.0,0.0,0.27,0.23
,2025_01_CAR_JAX,CAR,LB,0.0,16.0,13.0,0.0,0.24,0.59
,2025_01_CAR_JAX,CAR,DT,0.0,10.0,6.0,0.0,0.15,0.27
,2025_01_CAR_JAX,CAR,S,0.0,9.0,12.0,0.0,0.14,0.55
,2025_01_CAR_JAX,CAR,LB,0.0,8.0,6.0,0.0,0.12,0.27
,2025_01_CAR_JAX,CAR,LB,0.0,0.0,20.0,0.0,0.0,0.91
,2025_01_CAR_JAX,CAR,LB,0.0,0.0,20.0,0.0,0.0,0.91
,2025_01_CAR_JAX,CAR,S,0.0,0.0,18.0,0.0,0.0,0.82
,2025_01_CAR_JAX,CAR,LB,0.0,0.0,14.0,0.0,0.0,0.64
,2025_01_CAR_JAX,CAR,CB,0.0,0.0,12.0,0.0,0.0,0.55
,2025_01_CAR_JAX,CAR,CB,0.0,0.0,7.0,0.0,0.0,0.32
,2025_01_CAR_JAX,CAR,P,0.0,0.0,5.0,0.0,0.0,0.23
,2025_01_CAR_JAX,CAR,K,0.0,0.0,4.0,0.0,0.0,0.18
,2025_01_CAR_JAX,CAR,LS,0.0,0.0,4.0,0.0,0.0,0.18
,2025_01_CAR_JAX,CAR,G,0.0,0.0,2.0,0.0,0.0,0.09
,2025_01_CAR_JAX,CAR,C,0.0,0.0,2.0,0.0,0.0,0.09
,2025_01_CAR_JAX,CAR,OL,0.0,0.0,2.0,0.0,0.0,0.09
,2025_01_CIN_CLE,CLE,G,76.0,0.0,4.0,1.0,0.0,0.17
,2025_01_CIN_CLE,CLE,G,76.0,0.0,3.0,1.0,0.0,0.13
,2025_01_CIN_CLE,CLE,T,76.0,0.0,3.0,1.0,0.0,0.13
,2025_01_CIN_CLE,CLE,C,76.0,0.0,1.0,1.0,0.0,0.04
,2025_01_CIN_CLE,CLE,QB,76.0,0.0,0.0,1.0,0.0,0.0
,2025_01_CIN_CLE,CLE,WR,67.0,0.0,0.0,0.88,0.0,0.0
,2025_01_CIN_CLE,CLE,WR,67.0,0.0,0.0,0.88,0.0,0.0
,2025_01_CIN_CLE,CLE,TE,64.0,0.0,0.0,0.84,0.0,0.0
,2025_01_CIN_CLE,CLE,T,56.0,0.0,4.0,0.74,0.0,0.17
,2025_01_CIN_CLE,CLE,TE,55.0,0.0,8.0,0.72,0.0,0.35
,2025_01_CIN_CLE,CLE,RB,41.0,0.0,0.0,0.54,0.0,0.0
,2025_01_CIN_CLE,CLE,RB,33.0,0.0,4.0,0.43,0.0,0.17
,2025_01_CIN_CLE,CLE,WR,21.0,0.0,0.0,0.28,0.0,0.0
,2025_01_CIN_CLE,CLE,WR,21.0,0.0,0.0,0.28,0.0,0.0
,2025_01_CIN_CLE,CLE,T,20.0,0.0,1.0,0.26,0.0,0.04
,2025_01_CIN_CLE,CLE,DT,3.0,7.0,14.0,0.04,0.13,0.61
,2025_01_CIN_CLE,CLE,TE,3.0,0.0,10.0,0.04,0.0,0.43
,2025_01_CIN_CLE,CLE,RB,3.0,0.0,0.0,0.04,0.0,0.0
,2025_01_CIN_CLE,CLE,DT,1.0,42.0,3.0,0.01,0.81,0.13
,2025_01_CIN_CLE,CLE,C,1.0,0.0,4.0,0.01,0.0,0.17
,2025_01_CIN_CLE,CLE,G,1.0,0.0,4.0,0.01,0.0,0.17
,2025_01_CIN_CLE,CLE,LB,0.0,52.0,9.0,0.0,1.0,0.39
,2025_01_CIN_CLE,CLE,S,0.0,52.0,7.0,0.0,1.0,0.3
,2025_01_CIN_CLE,CLE,S,0.0,52.0,6.0,0.0,1.0,0.26
,2025_01_CIN_CLE,CLE,CB,0.0,50.0,3.0,0.0,0.96,0.13
,2025_01_CIN_CLE,CLE,CB,0.0,48.0,3.0,0.0,0.92,0.13
,2025_01_CIN_CLE,CLE,DE,0.0,45.0,3.0,0.0,0.87,0.13
,2025_01_CIN_CLE,CLE,LB,0.0,39.0,6.0,0.0,0.75,0.26
,2025_01_CIN_CLE,CLE,DT,0.0,37.0,3.0,0.0,0.71,0.13
,2025_01_CIN_CLE,CLE,DE,0.0,29.0,0.0,0.0,0.56,0.0
